Carimbo de data/hora,Bota
11/12/2024 21:31:11,"1- Sunrise (1927)
2- Battleship Potemkin (1925)
3 - A girl in every port (1928)
4- O gabinete do Dr Caligari (1920)
5 - Nosferatu (1922)
6- Manhatta (1921)
7- Cops (1922)
8- 3 Bad men (1926)
9- Dr Jekyll And Mr Hyde (1931)
10- Serpent (1925)

Lista by Jonathan"
11/12/2024 21:31:38,"- ENRIQUE 

1)Man with a Movie Camera (1929)
2)Sherlock Jr. (1924)
3)Sunrise: A Song of Two Humans (1927)
4)Steamboat Willie (1928)
5)The General (1926)
6)One Week (1920)
7)The Kid (1921)
8)Dreams of the Rarebit Fiend: The Flying House (1921)
9)Nosferatu (1922)
10)O Gabinete do Dr. Caligari (1920)
11)Walking from Munich to Berlin (1927)
"
11/12/2024 21:31:54,"1. the cameraman (1928)
2. the general (1926) 
3. battleship potemkin (1925)
4. the passion of joan of darc (1928) 
5. man with a movie camera (1929)
6. one week (1920) 
7. faust (1926)
8. sherlock jr (1924)
9. O Gabinete do Dr. Caligari (1920)
10. sunrise (1927)

cristiano pompoarismo "
11/12/2024 21:32:12,"Henrique 

1. Paixão de Joana D'Arc 
2. Fausto
3. Os Nibelungos 
4. O Gabinete do Dr. Caligari (1920)
5. O Encouraçado Potemkin
6. Um Homem com Uma Câmera  (1929)
7. Strike (1925)
8. Greed (1924)
9. Sherlock Jr. 
10. Aurora (1927)
11. October (1928)
12. Haxan
13. The Lodger
14. Metropolis
15. A Última Gargalhada 
"
11/12/2024 21:34:45,"1- The Passion of Joan of Arc (1928)
2- Iron Horse (1924)
3- The Man With a Movie Camera (1929)
4- Battleship Potemkin (1925)
5- Faust (1926)
6- Die Nibelungen (1924)
7- Sunrise (1927)
8- Spies (1928)
9- Go West (1925)
10- In Old Arizona (1928)"
11/12/2024 21:44:44,"1-Um Homem com uma Câmera (1929)
2-Sunrise (1927)
3-October (1927)
4-O Encouraçado Potenkim (1925)
5-Fausto (1926)
6-A Paixão de Joana D'Arc (1928)
7-Greed (1924)
8-As Duas Tormentas (1920)
9-Tartufo (1926)
10-Nosferatu (1922)"
11/12/2024 22:07:31,"1- Aurora (1927)
2- Sherlock Jr. (1924)
3- Um Homem Com Uma Câmera (1929)
4- A Paixão de Joana d'Arc (1928)
5- A Carruagem Fantasma (1921)
6-  Um Cão Andaluz (1929)
7- O Gabinete do Dr. Caligari (1920)
8- A Última Gargalhada (1924)
9- Uma Página de Loucura (1926)
10- Nanook, o Esquimó (1922)"
11/12/2024 22:13:35,"1-Thunderbolt (1929)
2-Potemkin (1925)
3-Sherlock Jr. (1924)
4-Sunrise (1927)
5-Passion of Joan of Arc (1928)
6-Foolish Wives (1922)
7-Faust (1926)
8-O Gabinete do Dr. Caligari (1920)
9-Un Chien Andalou (1929)
10- Lichtspiel: Opus I (1921)"
11/12/2024 22:17:22,"1- Sunrise: A Song of Two Humans - 1926
2- Sherlock Jr. - 1924
3- Um homem com uma câmera - 1920
4- O Encouraçado Potemkin - 1925
5- La Passion de Jeanne d'Arc -1928
6- The General - 1926
7- A Greve - 1925
8- O Gabinete do Dr. Caligari - 1920
9- Anémic Cinéma - 1926
10- Nosferatu - 1922"
11/12/2024 22:23:01,"1 - A paixão de joana d'arc (1928) 
2 - Um homem com uma câmera (1929)
3 - Sherlock Jr. (1924)
4 - O encouraçado potemkin (1925)
5 - Fausto (1926)
6 - O gabinete do Dr. Caligari (1920)
7 - Um cão andaluz (1929)
8 - A sorridente madame beudet (1923)
9 - A carruagem fantasma (1921)
10 - Metropolis (1927)
"
11/12/2024 22:51:09,"1. Aurora (1927)
2. Fausto (1926)
3. A Última Gargalhada (1924)
4. Nosferatu (1922)
5. A Paixão de Joana d’Arc (1929)
6. Way Down East (1920)
7. Lucky Star (1929)
8. Street Angel (1928)
9. 7th Heaven (1927)
10. Tokyo March (1929)
11. The Docks of New York (1928)
12 The Last Command (1928)
13. Four Sons (1928)
14. Outubro (1928)
15. Nazaré, Praia de Pescadores (1929)

Nome: Miguel Fernandes"
11/12/2024 23:08:59,"1 - Faust (1926)
2 - Napoleon (1927)
3 - October (1927)
4 - The General (1926)
5 - The Thief of Baghdad (1924)
6 - Dr. Mabuse the Gambler (1922) 
7 - Man with a Movie Camera (1929)
8 - The Gold Rush (1925)
9 - La Passion de Jeanne d'Arc (1928)
10 - Sunrise: A Song of Two Humans (1927) 
11 - Der letzte Mann (1924)
12 - Lucky Star (1929)
13 - Un Chien Andalou (1929) 
14 - The Iron Horse (1924)
15 - A Page of Madness (1926)"
12/12/2024 06:40:08,"1 - A Paixão de Joana d'Arc (1928)
2 - Um Homem com uma Câmera (1929)
3 - Aurora (1927)
4 - A Carruagem Fantasma (1921)
5- Napoleão (1927)
6 - Sherlock Jr. (1924)
7 - O Gabinete do Dr. Caligari (1920)
8 - Fausto (1926)
9 - Nanook, O Esquimó (1922)
10 - Um Cão Andaluz (1929)

Ber "
12/12/2024 08:36:03,"Bruna 

1 - Metropolis (1927)
2 - O Gabinete do Dr. Caligari (1920)
3 - Faust (1923)
4 - Die Nibelungen: Siegfried (1924)
5 - The Phantom Carriage (1921)
6 - Nosferatu (1922)
7 - The Passion of Joan of Arc (1928)
8 - The Man Who Laughs (1928)
9 - Sherlock Jr. (1924)
10 - The Lodger: A Story of a London Fog (1927)"
12/12/2024 09:38:40,"1- El Dorado (1921)
2- Outubro (1928)
3- Zvenygora (1928)
4- The Docks Of New York (1928)
5- Sherlock Jr. (1924)
6- Man with a Movie Camera (1929)
7- Ballet Mécanique (1924)
8- Battleship Potemkin (1925)
9- Emak-Bakia (1926)
10- Diagonal Symphony (1924)

Beatrix"
12/12/2024 12:44:10,"1 - The General (1926)
2 - Within Our Gates (1920)
3 - Man With a Movie Camera (1929)
4 - Sherlock Jr. (1924)
5 - The Passion of Joan of Arc (1928) 
6 - The Symbol of the Unconquered (1920)
7 - The Phantom of the Opera (1925)
8 - Battleship Pomtekin (1925)
9 - Sunrise (1927)
10 - Strike (1925)

Tarcisio"
12/12/2024 12:56:25,"1- Um Homem com Uma Câmera (1929)
2- Nosferatu (1922)
3-Rain (1929)
4- Sherlock Jr (1924)
5- Um Cão Andaluz (1929)
6- As aventuras do Príncipe Archemed (1926)
7- A Carruagem Fantasma (1921)
8- O Gabinete do Dr. Caligari (1920)
9- Encouraçado Potemkine (1925)
10- The Cameraman (1928)
11- Kino Eye (1924)
12- Greed (1924)
13- Faust (1926)
14- Em Busca do Ouro (1925)
15- O Martírio de Joana D'Arc (1928)

Felipe Considera "
