Carimbo de data/hora,Bota
19/12/2024 12:35:06,"1. Sob o Signo de Capricórnio 
2. My Darling Clementine
3. Cidadão Kane
4. Como Era Verde o Meu Vale
5. Alemanha Ano Zero
6. Os Melhores Anos de Nossas Vidas
7. Notorious
8. Pai e Filha
9. Child of Divorce
10. Rope 
11. Objective Burma
12. Roma Città Aperta
13. Out of The Past
14. Rebecca
15. À Sombra de Uma Dúvida 
"
19/12/2024 12:39:34,"Cristiano 

1. Days of Wrath 
2. White Heat 
3. My Darling Clementine 
4. His Girl Friday 
5. Pursued 
6. Grapes of Wrath 
7. Rope 
8. Fort Apache
9. Citizen Kane
10. How Green Was My Valley 
11. Gentleman Jim
12. Meshes of the Afternoon
13. Late Spring 
14. The Red Shoes 
15. To Be or Not to Be
16. Objective, Burma! 
17. Bicycle Thieves 
18. They Live by Night 
19. The Treasure of the Sierra Madre 
20. Women of the Night"
19/12/2024 12:44:51,"FELIPE

1 - My darling clementine (1946)
2 - Fort apache (1948)
3 - The big sleep (1946) 
4 - Late spring (1949)
5 - Out of the past (1947)
6 - Roma cidade aberta (1945)
7 - To have and have not (1944)
8 - White heat (1949)
9 - Vinhas da ira (1940)
10 - Notorious (1946)
11 - His girl friday (1940)
12 - Meshes of the afternoon (1943)
13 - Alemanha ano zero (1948)
14 - Ladrões de bicicleta (1948)
15 - Canyon passage (1946) 
16 - Brief encounter (1945)
17 - I walked with a zombie (1943)
18 - They live by night (1948) 
19 - Laura (1944) 
20 - Cidadão Kane (1941)"
19/12/2024 12:46:53,"Gato Burro (Gabriel)

1. I've Always Loved You (1946)
2. The Children Are Watching Us (1944)
3. Four Steps in the Clouds (1942)
5. Notorious (1946)
6. Meshes of the Afternoon (1943)
7. Citizen Kane (1941)
8. The Iron Crown (1941)
9. Rome, Open City (1945)
10. Late Spring (1949)
11. Ritual in Transfigured Time (1946)
12. Bicycle Thieves (1948)
13. The Jester's Supper (1942)
14. At Land (1944)
15. Germany, Year Zero (1948)
16. A Study in Choreography for Camera (1945)
17. Soeshine (1946)"
19/12/2024 12:57:22,"-My Darling Clementine (1946)
-Monsieur Verdoux (1947)
-Mulheres da Noite (1948)
-Aniki-Bóbó (1942)
-Samson and Delilah (1949)
-The Big Sleep (1946)
-Notorious (1946)
-The Leopard Man (1943)
-Fort Apache (1948)
-To Have and Have Not (1944)
-The Ghost and Mrs. Muir (1947)
-Cat People (1942)
-The Clock (1945)
-Ivan, O Terrível parte 2 (1946)
-The Fountainhead (1949)
-Partie de Campagne (1946)
-They Live By Night (1948)
-The Shop Around the Corner (1940)
-Gilda(1946)
-At Land (1944)"
19/12/2024 13:01:17,"Lista de Punheta Explosiva:

1- Falcão Maltês (1941)
2- Rope (1948)
3- I Walked with a Zombie (1943)
4- Bambi (1942)
5- Pinocchio (1940)
6- The Wolf Man (1941)
7- The Three Caballeros (1944)
8- Son of Dracula (1943)
9- The Invisible Man Returns (1940)
10- Invisible Agent (1942)
11- Corridor of Mirrors (1948)
12- House of Dracula (1945)
13- The Mummy's Hand (1940)
14- The Mummy's Ghost (1944)
15- The Invisible Man Revenge (1944)
16- Dumbo (1941)
17- The Invisible Woman (1940)
18- The Mummy's Tomb (1942)
19- The Mummy's Curse (1944)"
19/12/2024 13:08:03,"Davi Ribeiro 

1-My Darling Clementine (1946)
2-They Died with their Boowts on (1941)
3-How Green was my Valley (1941)
4-Notorius (1946)
5-Red River (1948)
6-To Have and Have Not (1944)
7-Roma, Cidade Aberta (1945)
8-Alemanha Ano Zero (1948)
9-Cidadão Kane (1941)
10-The Magnificent Ambersons (1942)
11-The Great Dictator (1940)
12-Pai e Filha (1949)
13-Gentleman Jim (1942)
14-Ladrões de Bicicleta (1948)
15-Rope (1948)"
19/12/2024 13:09:58,"Eduarda 
1. My darling Clementine (1946)
2. They live by night (1948)
3. Casablanca (1942)
4. Citizen Kane (1941)
5. Meshes of the afternoon (1943)
6. It’s a wonderful life (1946)
7. Rebecca (1940)
8. Gaslight (1944)
9. The lady from shanghai (1947)
10. The shop around the corner (1940)
11. Out of the past (1947)
12. Laura (1944)
13. Rope (1948) 
14. Double Indemnity (1944)
15. Brief encounter (1945)
16. Ball of fire (1941)
17. Spellbound (1945)
18. Bicycle Thieves (1948)
19. The big sleep (1946) 
20. Notorious 
"
19/12/2024 14:08:39,"Lista de Jonathan 

1- The Magnificent Ambersons (1942)
2- My Darling Clementine (1946)
3- Laura (1944)
4- Rope (1948)
5- Meet Me in St. Louis (1944)
6- Meshes of the Afternoon (1943)
7- How Green Was My Valley (1941)
8- Aniki-Bóbó (1942)
9- Raw Deal (1948)
10- Canyon Passage (1946)
11- Fort Apache (1948)
12- The Ox-Bow Incident (1943)
13- I Walked with a Zombie (1943)
14- The Flame that Never Dies (1949)
15- My Name is Julia Ross (1945)
16- 3 Godfathers (1948)
17- His Girl Friday (1940)
18- Gran Casino (1947)
19- Notorious (1946)
20- The Treasure of the Sierra Madre (1948)"
19/12/2024 14:16:27,"Luan

1- Ladrões de Bicicleta
2 - Fort Apache
3 - Rope
4 - Laura
5 - Cat People 
6 - The Boy with Green Hair
7 - Notorius 
8 - I Shot Jesse James
9 - Under Capricorn
10 - Lifeboat
"
